FrAir_mesozone,FrAirport_name,FrgnAirTons,FAF4_Rank
12,Chicago IL-IN-WI CSA (IL Part),1033,4
153,Remainder of Alabama,94,21
154,Alaska,1109,3
159,Los Angeles CA CSA,1032,5
162,San Francisco CA CSA,472,7
164,Denver CO CSA,24,30
169,Delaware,36,27
172,Miami FL MSA,1803,1
173,Orlando FL CSA,57,24
176,Atlanta GA-AL CSA (GA Part),442,8
179,Honolulu HI MSA,186,14
186,Indianapolis IN CSA,78,22
191,Louisville KY-IN CSA (KY Part),152,17
192,Remainder of Kentucky,57,23
195,New Orleans LA CSA,100,20
201,Boston MA-NH CSA (MA Part),115,19
203,Detroit MI CSA,153,16
206,Minneapolis-St. Paul MN-WI CSA (MN Part),37,26
217,New York NY-NJ-CT-PA CSA (NJ Part),490,6
223,New York NY-NJ-CT-PA CSA (NY Part),1511,2
226,Charlotte NC-SC CSA (NC Part),35,28
231,Cincinnati OH-KY-IN CSA (OH Part),34,29
232,Cleveland OH CSA,125,18
241,Philadelphia PA-NJ-DE-MD CSA (PA Part),273,11
245,Charleston SC MSA,48,25
249,Memphis TN-MS-AR MSA (TN Part),387,9
255,Dallas-Fort Worth TX CSA,238,13
257,Houston TX CSA,251,12
266,Washington DC-MD-VA-WV CSA (VA Part),308,10
268,Seattle WA CSA,171,15
