Port_mesozone,Port_name,Ocean,FrgnTons
152,"Mobile, AL",Atlantic,30671397
159,"Long Beach, CA",Pacific ,125677448
162,"Oakland, CA",Pacific ,34017051
169,"Wilmington, DE",Atlantic,4553381
171,"Jacksonville, FL",Atlantic,9726934
172,"Port Everglades, FL",Atlantic,18840363
174,"Tampa, FL",Atlantic,10704736
177,"Savannah, GA",Atlantic,30233800
178,"Brunswick, GA",Atlantic,3128647
193,"Baton Rouge, LA",Atlantic,25143109
194,"Lake Charles, LA",Atlantic,31084692
195,"New Orleans, LA",Atlantic,168827223
197,"Portland, ME",Atlantic,11109415
198,"Baltimore, MD",Atlantic,29992829
201,"Boston, MA",Atlantic,11424916
208,"Pascagoula, MS",Atlantic,24105355
217,"New York, NY and NJ",Atlantic,38303115
218,"Camden-Gloucester, NJ",Atlantic,15034768
223,"New York, NY and NJ",Atlantic,38303115
229,"Wilmington, NC",Atlantic,5936702
239,"Portland, OR",Pacific ,15036367
241,"Philadelphia, PA",Atlantic,20457166
244,"Providence, RI",Atlantic,4917351
245,"Charleston, SC",Atlantic,16494191
253,"Beaumont, TX",Atlantic,86192252
254,"Corpus Christi, TX",Atlantic,44246685
257,"Houston, TX",Atlantic,214438390
265,"Norfolk Harbor, VA",Atlantic,71345072
268,"Seattle, WA",Pacific ,46670239
269,"Longview, WA",Pacific ,11246911
