c Emme Module:    3.14(v15373)  Date: 2017JN22 08:12   User: E170/CMAP......cmh
c Project:        Meso Freight Network FY16                                   
t matrices
d matrix=mo80
a matrix=mo80   railyrdcost                                  0 Rail yard cost                                                                    
      1    all:999999.00
      2    all:999999.00
      3    all:999999.00
      4    all:999999.00
      5    all:999999.00
      6    all:999999.00
      7    all:999999.00
      8    all:999999.00
      9    all:999999.00
     10    all:999999.00
     11    all:999999.00
     12    all:999999.00
     13    all:999999.00
     14    all:999999.00
     15    all:999999.00
     16    all:999999.00
     17    all:999999.00
     18    all:999999.00
     19    all:999999.00
     20    all:999999.00
     21    all:999999.00
     22    all:999999.00
     23    all:999999.00
     24    all:999999.00
     25    all:999999.00
     26    all:999999.00
     27    all:999999.00
     28    all:999999.00
     29    all:999999.00
     30    all:999999.00
     31    all:999999.00
     32    all:999999.00
     33    all:999999.00
     34    all:999999.00
     35    all:999999.00
     36    all:999999.00
     37    all:999999.00
     38    all:999999.00
     39    all:999999.00
     40    all:999999.00
     41    all:999999.00
     42    all:999999.00
     43    all:999999.00
     44    all:999999.00
     45    all:999999.00
     46    all:999999.00
     47    all:999999.00
     48    all:999999.00
     49    all:999999.00
     50    all:999999.00
     51    all:999999.00
     52    all:999999.00
     53    all:999999.00
     54    all:999999.00
     55    all:999999.00
     56    all:999999.00
     57    all:999999.00
     58    all:999999.00
     59    all:999999.00
     60    all:999999.00
     61    all:999999.00
     62    all:999999.00
     63    all:999999.00
     64    all:999999.00
     65    all:999999.00
     66    all:999999.00
     67    all:999999.00
     68    all:999999.00
     69    all:999999.00
     70    all:999999.00
     71    all:999999.00
     72    all:999999.00
     73    all:999999.00
     74    all:999999.00
     75    all:999999.00
     76    all:999999.00
     77    all:999999.00
     78    all:999999.00
     79    all:999999.00
     80    all:999999.00
     81    all:999999.00
     82    all:999999.00
     83    all:999999.00
     84    all:999999.00
     85    all:999999.00
     86    all:999999.00
     87    all:999999.00
     88    all:999999.00
     89    all:999999.00
     90    all:999999.00
     91    all:999999.00
     92    all:999999.00
     93    all:999999.00
     94    all:999999.00
     95    all:999999.00
     96    all:999999.00
     97    all:999999.00
     98    all:999999.00
     99    all:999999.00
    100    all:999999.00
    101    all:999999.00
    102    all:999999.00
    103    all:999999.00
    104    all:999999.00
    105    all:999999.00
    106    all:999999.00
    107    all:999999.00
    108    all:999999.00
    109    all:999999.00
    110    all:999999.00
    111    all:999999.00
    112    all:999999.00
    113    all:999999.00
    114    all:999999.00
    115    all:999999.00
    116    all:999999.00
    117    all:999999.00
    118    all:999999.00
    119    all:999999.00
    120    all:999999.00
    121    all:999999.00
    122    all:999999.00
    123    all:999999.00
    124    all:999999.00
    125    all:999999.00
    126    all:999999.00
    127    all:999999.00
    128    all:999999.00
    129    all:999999.00
    130    all:999999.00
    131    all:999999.00
    132    all:999999.00
    133    all:999999.00
    134    all:999999.00
    135    all:999999.00
    136    all:999999.00
    137    all:999999.00
    138    all:999999.00
